q,w
0.00,11.20
1.00,12.50
2.00,13.80
3.00,15.10
4.00,16.40
5.00,17.70
6.00,19.00
7.00,20.30
8.00,21.60
9.00,22.90
10.00,24.20
11.00,25.50
12.00,26.80
13.00,28.10
14.00,29.40
15.00,30.70
16.00,32.00
17.00,33.30
18.00,34.60
19.00,35.90
20.00,37.20
21.00,38.50
22.00,39.80
23.00,41.10
24.00,42.40
25.00,43.70
26.00,45.00
27.00,46.30
28.00,47.60
29.00,48.90
30.00,50.20
31.00,51.50
32.00,52.80
33.00,54.10
34.00,55.40
35.00,56.70
36.00,58.00
37.00,59.30
38.00,60.60
39.00,61.90
40.00,63.20
41.00,64.50
42.00,65.80
43.00,67.10
44.00,68.40
45.00,69.70
46.00,71.00
47.00,72.30
48.00,73.60
49.00,74.90
50.00,76.20
51.00,77.50
52.00,78.80
53.00,80.10
54.00,81.40
55.00,82.70
56.00,84.00
57.00,85.30
58.00,86.60
59.00,87.90
60.00,89.20
61.00,90.50
62.00,91.80
63.00,93.10
64.00,94.40
65.00,95.70
66.00,97.00
67.00,98.30
68.00,99.60
69.00,100.90
70.00,102.20
71.00,103.50
72.00,104.80
73.00,106.10
74.00,107.40
75.00,108.70
76.00,110.00
77.00,111.30
78.00,112.60
79.00,113.90
80.00,115.20
81.00,116.50
82.00,117.80
83.00,119.10
84.00,120.40
85.00,121.70
86.00,123.00
87.00,124.30
88.00,125.60
89.00,126.90
90.00,128.20
91.00,129.50
92.00,130.80
93.00,132.10
94.00,133.40
95.00,134.70
96.00,136.00
97.00,137.30
98.00,138.60
99.00,139.90
